p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	peak
1	6.71969805857345e-130	0.485128167440719	0.13	0.006	7.25209973575423e-125	0	chr14-77593345-77594164
2	5.26090543676231e-125	0.495561853462776	0.134	0.007	2.83886348725849e-120	0	chr14-64377553-64378556
3	1.10693101422545e-115	0.513368479801917	0.161	0.015	3.98211052827512e-111	0	chr6-6869240-6870997
4	4.99474188738241e-114	0.456390570545233	0.13	0.008	1.34761882177993e-109	0	chr2-180854581-180855586
5	7.05731439811494e-105	0.621502038927885	0.205	0.031	1.47955783014178e-100	0	chr2-158555607-158557373
6	8.22563029275565e-105	0.415433656323485	0.134	0.01	1.47955783014178e-100	0	chr12-49945064-49946478
7	5.86931517182782e-101	0.592526691180766	0.268	0.054	9.04905858984534e-97	0	chr12-29526058-29528716
8	2.34202463977241e-97	0.526856557380125	0.164	0.02	3.15947906497698e-93	0	chr4-125544873-125546027
9	1.29300455927832e-88	0.528284911937082	0.168	0.024	1.39544931050994e-84	0	chr2-158609812-158611391
10	1.60439267485185e-86	0.505519056647119	0.172	0.025	1.57409882407306e-82	0	chr19-26769474-26770996
11	3.17464606502858e-85	0.42779336597442	0.114	0.01	2.85514439396733e-81	0	chr5-101090526-101091868
12	5.26308282002101e-85	0.538994107445886	0.238	0.051	4.36928990142406e-81	0	chr18-37216822-37218473
13	1.37761740855487e-84	0.415179713096232	0.101	0.007	1.06197573988191e-80	0	chr2-180879445-180879953
14	7.95695187037592e-83	0.422112905059616	0.118	0.011	5.72492077804387e-79	0	chr5-150905823-150906927
15	4.04605026096917e-82	0.473563118026298	0.155	0.021	2.5685993077328e-78	0	chr1-64066588-64067550
16	1.17313155161994e-78	0.33269156457719	0.103	0.008	7.03377091363773e-75	0	chr17-3481421-3482505
17	3.75362549236237e-77	0.353334217945943	0.108	0.01	2.13211854743276e-73	0	chr8-90535655-90536926
18	6.43400514135456e-76	0.579104972798919	0.265	0.07	3.47188568435204e-72	0	chr4-151128375-151129692
19	1.242791602095e-74	0.467554102136201	0.156	0.025	6.09662718513177e-71	0	chr17-27389315-27389976
20	2.70296569669888e-74	0.507209820052575	0.166	0.028	1.26831376906449e-70	0	chr3-83979944-83981144
21	3.17618522911526e-73	0.382292942857392	0.126	0.016	1.42826432700752e-69	0	chr6-112885059-112885990
22	1.31676398586905e-70	0.41877518605737	0.148	0.023	5.46573537103635e-67	0	chr12-12680423-12681418
23	1.46978037415775e-70	0.521100575858038	0.202	0.044	5.87492990074913e-67	0	chr11-81612114-81613702
24	9.21813699903172e-70	0.343328403355027	0.111	0.012	3.01469393741364e-66	0	chr12-88800855-88801805
25	4.69364338813761e-69	0.381393489767693	0.131	0.018	1.44729164393707e-65	0	chr19-59043486-59044386
26	5.65167912465369e-69	0.479643811220167	0.135	0.02	1.69429490602778e-65	0	chr8-121668317-121669519
27	2.1772116528634e-68	0.557711555588737	0.216	0.051	6.35057333005341e-65	0	chr6-77978734-77980522
28	1.16331303632312e-65	0.432592684466113	0.142	0.023	3.06215201997805e-62	0	chr2-22621616-22623486
29	2.94972529727427e-65	0.490353278465042	0.174	0.036	7.40333030831933e-62	0	chr14-66343537-66345461
30	1.41072123147758e-64	0.591970482268806	0.345	0.128	3.46021062419898e-61	0	chr9-108824631-108827644
31	4.1819984561958e-64	0.403382786362208	0.153	0.028	9.81160476930478e-61	0	chr3-154816209-154818054
32	1.22904066825788e-63	0.468760966997991	0.179	0.039	2.77735334268252e-60	0	chr13-20471706-20474026
33	4.76755543899431e-62	0.452526080444976	0.202	0.048	9.70809218193554e-59	0	chr3-94477603-94479010
34	6.56318906247571e-62	0.3856632834146	0.13	0.02	1.31170195035105e-58	0	chr4-71483720-71485471
35	1.2886803631551e-61	0.48642549120151	0.237	0.066	2.52869546968705e-58	0	chr5-116590852-116593348
36	1.49119497203632e-61	0.437085223876789	0.142	0.025	2.87382562441207e-58	0	chr4-123013546-123014623
37	4.02140698888678e-61	0.39097249587195	0.15	0.027	7.61407555195839e-58	0	chr3-8509081-8511670
38	8.73528905041187e-61	0.489511117090495	0.16	0.032	1.62541137963379e-57	0	chr2-70560761-70562661
39	2.14868692618112e-60	0.40056662141259	0.126	0.02	3.80121743566758e-57	0	chr12-88859590-88860879
40	2.18373730355337e-60	0.371378437131194	0.101	0.012	3.80121743566758e-57	0	chr2-70168082-70169145
41	8.71568268412753e-60	0.413246177663323	0.139	0.024	1.46972284737359e-56	0	chr13-20353897-20355043
42	1.44752323918869e-59	0.450870698856544	0.168	0.036	2.29736839033767e-56	0	chr14-64587276-64588456
43	3.7057964935844e-59	0.463668569626041	0.156	0.031	5.79624166633491e-56	0	chr2-72426435-72427653
44	4.49340154770698e-59	0.413701900216749	0.137	0.024	6.92773393190258e-56	0	chr12-112329219-112330344
45	5.47667235958273e-58	0.403256506969802	0.117	0.018	7.88078548084329e-55	0	chr11-80622376-80623578
46	2.55469213049599e-57	0.398506543047829	0.14	0.026	3.5806498545392e-54	0	chr1-173389431-173390502
47	3.86440437196535e-57	0.439060503777502	0.159	0.033	5.346898885072e-54	0	chr18-64265088-64266928
48	1.12027236912941e-56	0.361451666979689	0.13	0.022	1.51128943616941e-53	0	chr2-178326977-178327899
49	2.42513108085311e-56	0.430215451379913	0.166	0.037	3.23120273628285e-53	0	chr6-134887022-134889000
50	2.90044959277115e-56	0.506778381705653	0.226	0.066	3.81738074878831e-53	0	chr5-38157943-38160177
51	4.93143759854675e-56	0.381655345020791	0.127	0.022	6.33589928509478e-53	0	chr13-29014853-29016672
