p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	peak
1	2.43146781853703e-11	0.748988492498001	0.101	0.043	1.2637125911526e-08	0	chr1:42695244-42696120
52	7.4250524682848e-60	0.626111332934298	0.137	0.017	8.21975583396532e-55	1	chr8:12394980-12395901
53	9.16334368981433e-51	0.608953370523038	0.202	0.044	5.07204818246758e-46	1	chr4:22488072-22488977
54	3.57638059560005e-44	0.538172966862722	0.107	0.014	6.59860101791188e-40	1	chr12:51001745-51002658
55	1.73737235940193e-38	0.459275414088478	0.105	0.016	2.13702591447636e-34	1	chr15:74535386-74536320
56	1.49762099401427e-37	0.491783527293337	0.112	0.019	1.27531643769509e-33	1	chr3:94477692-94478591
57	1.39330767386599e-36	0.427664649581768	0.104	0.016	1.02828892946658e-32	1	chr2:26500374-26501197
58	2.46776526319313e-34	0.416233875462653	0.112	0.021	1.13828757471362e-30	1	chr7:109191260-109192192
59	9.6170419398547e-32	0.420137291080346	0.104	0.019	2.95732053852149e-28	1	chr6:77979230-77980119
60	7.98820070117927e-30	0.424614351440214	0.105	0.021	1.7686355644453e-26	1	chr9:108824683-108825518
61	2.03175107980952e-27	0.437549794344756	0.109	0.024	2.64612870339004e-24	1	chr11:114795042-114795844
62	1.4675491052969e-26	0.356325741320933	0.104	0.023	1.56213546734311e-23	1	chr5:115436204-115437120
63	1.56131111430795e-26	0.425662026258143	0.107	0.024	1.64611261225936e-23	1	chr11:60176966-60177790
64	6.50376623705847e-25	0.361884544781027	0.117	0.03	5.41343183263972e-22	1	chr2:146221436-146222370
65	1.86747358286328e-24	0.410420142789608	0.114	0.029	1.4662051634306e-21	1	chr4:151128521-151129448
66	5.73319683634121e-24	0.374628045647771	0.112	0.029	4.17554006166764e-21	1	chr14:31933591-31934507
67	1.3762945446664e-23	0.463255699628946	0.11	0.029	9.40493425791387e-21	1	chr8:47242424-47243253
68	2.19845681336053e-20	0.399244186625337	0.115	0.034	8.13965767924584e-18	1	chr11:94160197-94161065
69	3.26890830938279e-20	0.398646176889759	0.102	0.028	1.19431668836173e-17	1	chr8:87472254-87473163
70	4.13105074204166e-20	0.412169107931301	0.159	0.058	1.48964075015061e-17	1	chr11:70028973-70029924
71	9.89770993466196e-18	0.411492705126935	0.127	0.044	2.37680299977632e-15	1	chr4:122995349-122996301
72	1.27340502197364e-17	0.352827820265826	0.104	0.032	3.00575173022491e-15	1	chr13:43531064-43531916
73	2.61814212059288e-17	0.308388773730903	0.122	0.041	5.79672374351987e-15	1	chr1:42695244-42696120
74	1.11760273512948e-16	0.305371488122521	0.11	0.036	2.25770028443503e-14	1	chr13:83730778-83731606
75	2.26824455184344e-16	0.310444922888101	0.105	0.034	4.29968281888226e-14	1	chr15:76522933-76523775
76	3.4538062932121e-16	0.350918695927933	0.117	0.041	6.4476680957413e-14	1	chr4:151108134-151109042
77	7.44366071703915e-16	0.33456223791256	0.145	0.058	1.28957053577212e-13	1	chr16:31429424-31430317
78	9.19354601051675e-16	0.370013401647287	0.102	0.033	1.51451357738428e-13	1	chr18:43392943-43393822
79	2.30821774894941e-15	0.308756742300908	0.102	0.033	3.61935735781795e-13	1	chr8:123411016-123411933
80	4.42782517100637e-15	0.359532509173091	0.182	0.084	6.40749712295318e-13	1	chr15:98953093-98953949
81	1.28136044132911e-14	0.339926193991697	0.171	0.076	1.7643090166226e-12	1	chr13:84347724-84348651
82	2.60320918452988e-14	0.348200470114366	0.135	0.055	3.38243035627947e-12	1	chr9:47529799-47530632
83	3.47366689974567e-14	0.342023949454631	0.154	0.067	4.39480396345766e-12	1	chr12:24830952-24831878
84	1.24208036489842e-13	0.321312281225453	0.125	0.05	1.393130928423e-11	1	chr18:77046809-77047704
85	2.21673210339706e-13	0.293019272310721	0.13	0.054	2.43451283772188e-11	1	chr1:82282951-82283843
86	2.82577264107574e-13	0.299055653191313	0.187	0.091	3.05489754575203e-11	1	chr7:6728201-6729000
87	3.92398217898053e-13	0.296771851426912	0.149	0.066	4.09808112414794e-11	1	chr7:18990584-18991444
88	4.74210957442467e-13	0.345397520925701	0.181	0.088	4.84732923561897e-11	1	chr12:52503369-52504291
89	5.67860320984823e-13	0.320317124134059	0.13	0.055	5.7409900560715e-11	1	chr14:76505535-76506437
90	5.80873577405798e-13	0.221945044710137	0.109	0.041	5.86719412769654e-11	1	chr15:85670408-85671333
91	9.33327423420051e-13	0.306298060962475	0.102	0.038	9.17603425886944e-11	1	chr4:91376107-91377008
92	9.67967521246286e-13	0.306697237877138	0.124	0.051	9.48291225703785e-11	1	chr9:44478419-44479268
93	1.21437358563587e-12	0.317959344314933	0.117	0.047	1.15493813617395e-10	1	chr12:12941652-12942234
94	2.77837240108021e-12	0.309041368725953	0.11	0.044	2.4186696070709e-10	1	chr16:94371212-94371891
95	1.9293477103309e-11	0.313461858601786	0.201	0.107	1.41916664170605e-09	1	chr14:64949530-64950447
96	2.70794545929793e-11	0.30851895865108	0.147	0.07	1.95422220456753e-09	1	chr10:37140706-37141641
97	3.7778329057252e-11	0.258404216890387	0.104	0.042	2.63029834064463e-09	1	chr2:116975423-116976279
98	6.32515674468342e-11	0.261096894376398	0.117	0.05	4.11467039329471e-09	1	chr7:44895536-44896453
99	8.10484790620753e-11	0.28528990669443	0.12	0.054	5.20737653952927e-09	1	chr7:24506803-24507699
100	9.90448079651989e-11	0.293258076837072	0.122	0.055	6.30872116005260e-09	1	chr11:77491012-77491815
101	1.32384744805387e-10	0.290863437813436	0.105	0.044	8.29863443045908e-09	1	chr18:57877931-57878823
102	1.7167867850116e-10	0.280105561322149	0.104	0.043	1.04138875321172e-08	1	chr12:70347022-70347893
103	3.10565739771422e-10	0.264199775772521	0.105	0.045	1.76220190107205e-08	1	chr6:72216458-72217345
104	4.26018490170952e-10	0.277406796598696	0.139	0.067	2.3758954618335e-08	1	chr12:27342452-27343302
105	6.43592486054462e-10	0.313862689410634	0.104	0.045	3.45862228076151e-08	1	chr10:74966637-74967533
106	1.07415596304885e-09	0.272197731735056	0.161	0.085	5.48741520892462e-08	1	chr11:75531365-75532270
107	3.75959054264454e-09	0.309738160035437	0.114	0.054	1.70923183508164e-07	1	chr3:129535928-129536835
108	4.96113687405154e-09	0.239806136228577	0.159	0.085	2.15377543281619e-07	1	chr14:76414238-76415089
109	5.02049633415474e-09	0.264339381593994	0.13	0.065	2.17613158057922e-07	1	chr15:28025623-28026520
110	6.91758612109545e-09	0.206678390969558	0.119	0.057	2.85532265609109e-07	1	chr11:119053050-119053934
111	7.53235933849916e-09	0.282531351213329	0.214	0.129	3.08264242458363e-07	1	chr7:82865754-82866631
112	1.71928677506778e-08	0.236303455343644	0.114	0.055	6.66655705290115e-07	1	chr7:44590345-44591236
113	1.84066469553522e-08	0.221180798524165	0.237	0.15	7.12317856432639e-07	1	chr7:16614857-16615711
114	1.87367282928109e-08	0.246805620186109	0.125	0.063	7.24236044762238e-07	1	chr4:148159646-148160570
115	2.70887211458118e-08	0.247422903149634	0.107	0.051	1.00093547964112e-06	1	chr10:37138628-37139487
116	3.17181141177978e-08	0.269945295015389	0.232	0.147	1.13892000881692e-06	1	chr7:127745323-127746273
117	4.22145034338915e-08	0.307612505916395	0.125	0.065	1.48075797643919e-06	1	chr11:80476417-80477313
118	4.51033452772055e-08	0.266918791648108	0.162	0.092	1.57908780272691e-06	1	chr16:96127447-96128374
119	4.80000908599696e-08	0.226672875054034	0.125	0.065	1.67626310992783e-06	1	chr16:94370260-94371077
120	6.54508334304255e-08	0.223537294199309	0.181	0.106	2.22736047133366e-06	1	chr11:70021108-70021884
121	6.80786196096048e-08	0.265215059041458	0.219	0.138	2.29282246018926e-06	1	chr4:149426201-149427063
122	1.05190837718938e-07	0.289693168965466	0.191	0.116	3.43508593156331e-06	1	chr11:117654167-117655003
123	1.90532649504952e-07	0.231756456428603	0.13	0.071	5.81542208385628e-06	1	chr14:25457245-25458125
124	2.31970985078708e-07	0.237616541369932	0.125	0.067	6.98392275256139e-06	1	chr5:132542991-132543845
125	3.00149194537614e-07	0.280539337281814	0.135	0.075	8.8253429702251e-06	1	chr15:78913462-78914324
126	3.07885857161552e-07	0.234168213903652	0.132	0.072	9.02235579244789e-06	1	chr8:34806743-34807656
127	3.12196413531946e-07	0.302378517736209	0.104	0.052	9.12383304309055e-06	1	chr4:101356054-101357006
171	5.67105968691102e-19	0.738507865170735	0.104	0.02	6.2780332052011e-14	10	chr6:4994127-4994918
172	1.07314309636239e-15	0.915293372136022	0.123	0.032	1.6971451456658e-11	10	chr1:156780755-156781479
173	2.64426342674089e-13	0.691084728148483	0.127	0.038	2.25175303177305e-09	10	chr2:27885802-27886676
174	1.58666565550505e-11	0.794587917537977	0.101	0.029	7.98402945733526e-08	10	chr8:26352062-26352931
175	1.33326911935395e-10	0.793581148238702	0.134	0.049	3.70049155498548e-07	10	chr7:99359912-99360800
181	1.65807414600359e-247	0.912781606147485	0.222	0	1.83553782185036e-242	11	chr3:83007377-83008358
182	1.63669180080185e-231	0.983639566521358	0.213	0.001	9.05933462120835e-227	11	chr3:83025650-83026624
183	2.17006233616287e-204	0.888421145771693	0.185	0	8.00774702667461e-200	11	chr18:65249674-65250311
184	1.06884025692154e-193	0.902465051763248	0.176	0	2.95809557404962e-189	11	chr8:124569350-124570215
185	1.36213819303757e-178	0.847264194827934	0.171	0.001	3.01585568767677e-174	11	chr17:57232753-57233650
186	8.97777070102657e-178	0.834075273543747	0.162	0	1.65644358319291e-173	11	chr1:170515911-170516873
187	1.95849594762243e-172	0.673392749404612	0.157	0	3.0973053841378e-168	11	chr18:65248885-65249557
188	5.73487377575303e-171	0.870738936814605	0.176	0.001	7.93584664496485e-167	11	chr6:90332457-90333295
189	7.77569986443067e-168	0.764800867859267	0.181	0.002	9.56437002324521e-164	11	chr7:142568871-142569768
190	1.08471120617991e-161	0.866649930046378	0.171	0.002	1.20080784657735e-157	11	chr11:78981904-78982520
191	2.56652178320948e-156	0.797190358638496	0.144	0	2.58292419060581e-152	11	chr12:103630980-103631893
192	1.53733459225611e-151	0.737516938032876	0.144	0.001	1.41822959472107e-147	11	chr11:75443508-75444404
193	1.09157283949813e-145	0.548833683490829	0.134	0	9.20776588524324e-142	11	chr5:90509797-90510561
194	1.16445554676391e-145	0.570675685326203	0.125	0	9.20776588524324e-142	11	chr4:104816364-104817201
195	1.91482354350859e-142	0.629000233524924	0.144	0.001	1.41317807158021e-138	11	chr11:7197293-7198140
196	9.7055086617572e-141	0.649512279217954	0.134	0.001	6.71518078364067e-137	11	chr15:3247257-3248081
197	2.18899873277522e-140	0.668413115035205	0.13	0	1.42546309832009e-136	11	chr18:65220423-65221328
198	2.45040234908443e-140	0.625440255050933	0.13	0	1.50703828472608e-136	11	chr7:114771580-114772470
199	4.01659157351366e-138	0.690005082419959	0.144	0.001	2.34025651032991e-134	11	chr19:58441026-58442063
200	4.2045569772266e-137	0.702594668316346	0.162	0.002	2.32728535524958e-133	11	chr4:53595380-53596235
201	3.38429025559003e-136	0.744245639599791	0.134	0.001	1.78405278173611e-132	11	chr1:171224652-171225533
202	5.18085983678741e-135	0.604782146996265	0.125	0	2.60698512050853e-131	11	chr7:105599634-105600498
203	6.95331792997384e-134	0.650677501594639	0.153	0.002	3.34675284696476e-130	11	chr14:25451489-25452278
204	5.71461275896475e-131	0.646573227094632	0.13	0.001	2.63593656773198e-127	11	chr15:85771567-85772334
205	2.59047658206871e-130	0.610205928569217	0.125	0.001	1.14709411625901e-126	11	chr5:9034348-9035106
206	4.24070606285908e-130	0.703278069950621	0.125	0.001	1.80561108952573e-126	11	chr19:10657587-10658368
207	1.1344664611482e-129	0.671000303950845	0.12	0	4.65143854253662e-126	11	chr2:69385868-69386771
208	1.94031233127774e-129	0.546518496743912	0.116	0	7.54051871551667e-126	11	chr8:45264672-45265592
209	1.97533077468527e-129	0.579907740851508	0.116	0	7.54051871551667e-126	11	chr8:46362724-46363628
210	3.51423776692467e-129	0.787157737234016	0.157	0.002	1.29678887837287e-125	11	chr9:21834990-21835916
211	2.97860022536872e-127	0.676924751493029	0.144	0.002	1.06367735725482e-123	11	chr8:13057003-13057755
212	7.0387860874544e-127	0.713099716343425	0.13	0.001	2.43504605074833e-123	11	chr5:66052578-66053477
213	1.23956805118489e-126	0.542459732706232	0.13	0.001	4.15830005970668e-123	11	chr7:30493375-30493889
214	1.18116460723185e-125	0.654912903959779	0.125	0.001	3.84583722101141e-122	11	chr15:9114208-9115046
215	9.02208065716997e-125	0.787049757440822	0.171	0.004	2.85363255711625e-121	11	chr10:81092254-81093148
216	1.52699798675213e-122	0.617035572685586	0.148	0.002	4.69564605909503e-119	11	chr4:150684908-150685739
217	1.61722978549006e-121	0.612428767634543	0.125	0.001	4.83870780927312e-118	11	chr7:35116283-35117159
218	1.68164873929073e-121	0.566859913268819	0.125	0.001	4.89904106278163e-118	11	chr5:123196491-123197383
219	5.99903461440963e-119	0.538031906986126	0.102	0	1.70284904851023e-115	11	chr16:17345196-17346155
220	7.4356005856058e-119	0.660294596374541	0.139	0.002	2.0578582290708e-115	11	chr4:11146650-11147366
221	9.4716246278851e-119	0.519299089622762	0.106	0	2.55740795409943e-115	11	chr11:71012448-71013354
222	2.30324879155217e-116	0.604668817337413	0.12	0.001	6.07087026121905e-113	11	chr7:141581126-141582093
223	3.48306724663835e-115	0.632042537384598	0.116	0.001	8.96711612568851e-112	11	chr16:93929373-93930227
224	3.71280257265057e-115	0.612773718496399	0.116	0.001	9.34132689091218e-112	11	chr1:190106627-190107553
225	2.46887658335689e-114	0.558181841422785	0.111	0.001	6.07360098683017e-111	11	chr19:29126311-29127186
226	8.22078865768043e-114	0.644453937312005	0.106	0	1.97840427558956e-110	11	chr14:41160654-41161511
227	8.80234425475006e-114	0.453895163564854	0.106	0	2.07328918305021e-110	11	chr2:163539162-163540028
228	9.18648558660676e-114	0.574468265701417	0.106	0	2.1186906539461e-110	11	chr16:22891489-22892400
229	1.01780752934823e-113	0.572159024603531	0.106	0	2.29947646778442e-110	11	chr8:46513802-46514696
230	3.78655965530997e-111	0.773617870311379	0.162	0.004	8.3836702704356e-108	11	chr3:89136141-89137045
231	9.83707504392065e-111	0.695296054872922	0.134	0.002	2.13528180115127e-107	11	chr4:63156701-63157574
232	4.8161916438943e-110	0.498796044562324	0.111	0.001	1.02532089145006e-106	11	chr2:4922261-4923121
233	5.21412479909925e-110	0.52386411247859	0.111	0.001	1.08909293893337e-106	11	chr14:29995773-29996663
234	7.75331740951656e-110	0.561835303638193	0.111	0.001	1.5894731429365e-106	11	chr4:45413396-45414292
235	4.37620436209406e-109	0.547634321380632	0.106	0.001	8.80834457267089e-106	11	chr16:23057693-23058579
236	9.16185713582384e-109	0.60522197327183	0.12	0.001	1.81115191161983e-105	11	chr2:146524796-146525657
237	9.3639614274762e-109	0.597087111786959	0.12	0.001	1.81862916123842e-105	11	chr2:72179454-72180336
238	1.60637603347198e-108	0.572842043902083	0.102	0	3.06604562126636e-105	11	chr4:49549029-49549948
239	2.20081085330029e-108	0.453807239494549	0.102	0	4.12942989648986e-105	11	chr13:35959507-35960353
240	1.88301269759409e-107	0.525328224128769	0.116	0.001	3.11127096510088e-104	11	chr11:117204349-117205179
241	4.14813632291999e-107	0.580902570921359	0.116	0.001	6.753104931709e-104	11	chr17:85928189-85929020
242	4.86147805494504e-107	0.679027594350116	0.139	0.003	7.79971311763161e-104	11	chr8:119432106-119432989
243	5.32807008174457e-107	0.615894240801471	0.125	0.002	8.42619060370527e-104	11	chr17:12377795-12378730
244	4.40206115186976e-106	0.714397916638519	0.171	0.006	6.86368134782307e-103	11	chr6:116634976-116635957
245	6.12004715664087e-106	0.526123877309895	0.111	0.001	9.40982750530019e-103	11	chr18:60698468-60699318
246	7.2976909161204e-106	0.531600833304836	0.111	0.001	1.10667983217435e-102	11	chr12:110024142-110024816
247	8.01590770503927e-106	0.699906176241888	0.13	0.002	1.19916896036617e-102	11	chr17:31929747-31930637
248	4.33248809902633e-105	0.674714380585067	0.134	0.002	6.39492573368682e-102	11	chr14:78850629-78851404
249	8.40188589403924e-105	0.587315494806302	0.106	0.001	1.22383417648398e-101	11	chr7:49506096-49507051
250	8.60304075102297e-105	0.529797438501756	0.106	0.001	1.23686028605259e-101	11	chr5:122026399-122027156
251	1.06440226154406e-104	0.545469004723206	0.106	0.001	1.51067337897067e-101	11	chr3:117060898-117061750
252	8.41113859825416e-104	0.523909059620428	0.125	0.002	1.17865604587662e-100	11	chr1:87573796-87574348
253	8.62412817183309e-104	0.465234196552205	0.102	0.001	1.19339607625805e-100	11	chr10:43441100-43442001
254	6.69806845344618e-103	0.598320922985974	0.13	0.002	8.93369002411871e-100	11	chr19:43985878-43986775
255	3.05802931844079e-102	0.654438433474225	0.153	0.004	3.93643046092269e-99	11	chr7:99167655-99168623
256	7.26003720453749e-101	0.516475040033929	0.125	0.002	9.23802182360821e-98	11	chr16:20729934-20730835
257	1.12303738298966e-99	0.57373998123478	0.134	0.003	1.41276826601255e-96	11	chr17:35469899-35470637
258	1.18836618336853e-99	0.685858102400016	0.139	0.003	1.4781539505331e-96	11	chr8:95833433-95834198
259	1.4290381420792e-99	0.560616801569955	0.102	0.001	1.75776454936216e-96	11	chr12:7977230-7978005
260	1.65822674919706e-99	0.390451317189628	0.102	0.001	2.01726017380617e-96	11	chr1:157526526-157527173
261	4.00099338688417e-99	0.561637686744632	0.12	0.002	4.81436924900259e-96	11	chr2:163540494-163541293
262	2.52273382953298e-97	0.638642417083602	0.144	0.004	2.6346622936867e-94	11	chr8:124571462-124572364
263	3.38342058984889e-97	0.512636500008619	0.116	0.002	3.5005122388602e-94	11	chr3:138130860-138131656
264	4.20331334119075e-97	0.566938988671874	0.106	0.001	4.30851293342445e-94	11	chr5:36724024-36724903
265	5.88591727320985e-97	0.568717535077915	0.106	0.001	5.97787798069863e-94	11	chr4:133557075-133557985
266	6.86326310544524e-97	0.47230086357522	0.106	0.001	6.90712559601914e-94	11	chr19:25381807-25382701
267	4.15443024029367e-96	0.604948040421327	0.12	0.002	4.14331433235343e-93	11	chr10:61426071-61426980
268	6.11779490984541e-96	0.506570862825313	0.12	0.002	6.04694865986264e-93	11	chr4:136214699-136215541
269	1.88919921602063e-95	0.653735107509394	0.125	0.002	1.8507966443463e-92	11	chr16:10663759-10664739
270	1.98282896021735e-95	0.556967262680929	0.111	0.002	1.92548345949949e-92	11	chr12:108854936-108855821
271	2.456444781003e-95	0.653439717742652	0.111	0.002	2.36465918775109e-92	11	chr11:101362138-101362980
272	2.72458893312221e-95	0.520136516438044	0.111	0.002	2.60017386778818e-92	11	chr6:140280779-140281625
273	3.99548725512129e-95	0.682652202984879	0.13	0.003	3.78044808208284e-92	11	chr3:94783324-94784215
274	1.05772175899752e-93	0.749975687184232	0.157	0.006	9.59778458084448e-91	11	chr7:73588334-73589027
275	1.49279622571285e-93	0.584651972067514	0.106	0.001	1.34355301280561e-90	11	chr12:80218127-80218876
276	3.08466948649106e-93	0.55445224095856	0.12	0.002	2.75388843679855e-90	11	chr4:11147494-11148206
277	8.3276013450097e-93	0.724284320049351	0.13	0.003	7.37512361357287e-90	11	chr7:109600487-109601350
278	3.02410155757241e-92	0.692412927422146	0.148	0.005	2.51712116336796e-89	11	chr4:139624287-139625091
279	5.07205763235591e-92	0.646518120450622	0.102	0.001	4.09848172317296e-89	11	chr17:85052295-85053156
280	5.77901059204749e-92	0.561819992845338	0.102	0.001	4.63589717080749e-89	11	chr3:83020069-83020980
281	6.77784898930086e-92	0.604550580588646	0.102	0.001	5.39804472419117e-89	11	chr18:38207618-38208543
282	2.07189816043871e-91	0.587859744523077	0.116	0.002	1.63832387182176e-88	11	chr2:31464174-31465089
283	2.99870605072178e-91	0.596489181515115	0.116	0.002	2.35436706335499e-88	11	chr1:182499180-182500007
284	2.0383604304346e-90	0.612458759711654	0.134	0.004	1.55622492917518e-87	11	chr15:102394787-102395685
285	2.19170190448832e-90	0.472181886355155	0.106	0.002	1.65053044852088e-87	11	chr4:44979527-44980314
286	1.15237156785147e-89	0.859195124049238	0.213	0.013	8.61966146458524e-87	11	chr7:84605667-84606479
287	3.34419196685016e-89	0.667440869167407	0.111	0.002	2.48464485440412e-86	11	chr14:34348790-34349692
288	1.50010573485496e-88	0.558653501014038	0.102	0.001	1.09977619314999e-85	11	chr13:24977479-24978454
289	2.13567065823129e-88	0.574985886398902	0.125	0.003	1.55542861104065e-85	11	chr15:88875645-88876076
290	2.40099974912219e-88	0.650575966321763	0.12	0.003	1.73724101455603e-85	11	chr2:79368718-79369611
